Product,Issue,Company
Credit card,Customer service / Customer relations,JPMorgan Chase & Co.
Credit card,Unsolicited issuance of credit card,PNC Bank N.A.
Credit card,Closing/Cancelling account,Capital One
Credit card,Customer service / Customer relations,Capital One
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Customer service / Customer relations,Citibank
Credit card,Closing/Cancelling account,Amex
Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo & Company
Credit card,Customer service / Customer relations,U.S. Bancorp
Credit card,Credit line increase/decrease,Amex
Credit card,Unsolicited issuance of credit card,Citibank
Credit card,Credit card protection / Debt protection,Discover
Credit card,Other,Citibank
Credit card,Application processing delay,Citibank
Credit card,Delinquent account,HSBC North America Holdings Inc.
Credit card,Transaction issue,USAA Savings
Credit card,Advertising and marketing,Discover
Credit card,Other fee,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,Discover
Credit card,Closing/Cancelling account,Discover
Credit card,Billing disputes,Citibank
Credit card,Other,"Portfolio Recovery Associates, Inc."
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Rewards,Bank of America
Credit card,Application processing delay,Citibank
Credit card,Advertising and marketing,Wells Fargo & Company
Credit card,Transaction issue,Amex
Credit card,Billing disputes,Capital One
Credit card,Closing/Cancelling account,Discover
Credit card,Billing disputes,Discover
Credit card,Billing disputes,Bank of America
Credit card,Late fee,Citibank
Credit card,Billing disputes,Citibank
Credit card,Credit card protection / Debt protection,Barclays PLC
Credit card,Overlimit fee,U.S. Bancorp
Credit card,Convenience checks,Barclays PLC
Credit card,Identity theft / Fraud / Embezzlement,Bank of America
Credit card,Billing disputes,Wells Fargo & Company
Credit card,Closing/Cancelling account,Discover
Credit card,Credit determination,Discover
Credit card,Other,Bank of America
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Rewards,Discover
Credit card,Credit line increase/decrease,Synchrony Financial
Credit card,Payoff process,JPMorgan Chase & Co.
Credit card,Other,JPMorgan Chase & Co.
Credit card,Billing disputes,Citibank
Credit card,Delinquent account,JPMorgan Chase & Co.
Credit card,Customer service / Customer relations,"Expert Global Solutions, Inc."
Credit card,Billing disputes,U.S. Bancorp
Credit card,Customer service / Customer relations,Synchrony Financial
Credit card,Closing/Cancelling account,Citibank
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Other,Synchrony Financial
